표준 증상명,유사어 예시
"상복부 통증, 구역, 구토","구역, 구토, 쑤심, 아파요, 아픔, 찌릿함, 통증"
"체중 감소, 황달, 상복부 통증","쑤심, 아파요, 아픔, 찌릿함, 체중 감소, 통증, 황달"
"부종, 피로, 소변량 감소","기운 없음, 다리 붓기, 몸이 붓는다, 무기력함, 발 붓기, 밤에 소변, 소변 자주 봄, 소변이 자주 마려움, 피곤함, 피로감, 화장실 자주 감"
"배뇨통, 잦은 소변, 발열","발열, 밤에 소변, 배뇨통, 소변 자주 봄, 소변이 자주 마려움, 화장실 자주 감"
"배뇨 곤란, 혈뇨","배뇨 곤란, 혈뇨"
"배뇨통, 잦은 소변, 잔뇨감","밤에 소변, 배뇨통, 소변 자주 봄, 소변이 자주 마려움, 잔뇨감, 화장실 자주 감"
"손가락 관절통, 뻣뻣함","뻣뻣함, 손가락 관절통"
"발가락 관절통, 열감","발가락 관절통, 열감"
"피로, 발열, 피부 발진","가려움, 건조함, 기운 없음, 무기력함, 발열, 붉은 반점, 피곤함, 피로감, 피부 발진, 피부 트러블"
"기분 저하, 무기력, 불면","기분 저하, 무기력, 불면"
"초조함, 두근거림, 긴장감","긴장감, 두근거림, 초조함"
"항문 통증, 출혈, 종물","쑤심, 아파요, 아픔, 종물, 찌릿함, 출혈, 통증"
"항문 통증, 고름, 발열","고름, 발열, 쑤심, 아파요, 아픔, 찌릿함, 통증"
"배변 시 통증, 출혈","쑤심, 아파요, 아픔, 찌릿함, 출혈, 통증"
"피로감, 체중 증가, 추위 민감","기운 없음, 무기력함, 체중 증가, 추위 민감, 피곤함, 피로감"
"불면, 체중 감소, 손떨림","불면, 손떨림, 체중 감소"
"경부 종물, 쉰 목소리","경부 종물, 쉰 목소리"
"피로감, 창백함, 어지럼증","균형 안 맞음, 기운 없음, 무기력함, 빙빙 돎, 어지러움, 창백함, 피곤함, 피로감, 현기증"
"피로, 잦은 감염, 출혈 경향","기운 없음, 무기력함, 잦은 감염, 출혈 경향, 피곤함, 피로감"
"림프절 종창, 발열, 체중감소","림프절 종창, 발열, 체중감소"
"속쓰림, 목 이물감, 트림","목 이물감, 속쓰림, 트림"
"삼킴 곤란, 체중감소","삼킴 곤란, 체중감소"
"무증상, 간헐적 혈변","간헐적 혈변, 무증상"
"갑작스런 호흡곤란, 흉통","가슴이 답답함, 숨 쉬기 힘듦, 숨이 참, 흉통"
"기침, 체중감소, 발열","기침, 기침이 멈추지 않음, 마른기침, 발열, 체중감소"
"기침, 가래, 객혈","가래, 가래가 많음, 객혈, 기침, 기침이 멈추지 않음, 마른기침, 목에 가래 낌"
"어지럼증, 실신","균형 안 맞음, 빙빙 돎, 실신, 어지러움, 현기증"
"심잡음, 호흡곤란, 피로감","가슴이 답답함, 기운 없음, 무기력함, 숨 쉬기 힘듦, 숨이 참, 심잡음, 피곤함, 피로감"
"두근거림, 어지럼증","균형 안 맞음, 두근거림, 빙빙 돎, 어지러움, 현기증"
"무증상, 혈중 지질 이상","무증상, 혈중 지질 이상"
"호흡곤란, 손발 저림","가슴이 답답함, 손발 저림, 숨 쉬기 힘듦, 숨이 참"
"호흡곤란, 마른 기침","가슴이 답답함, 기침, 기침이 멈추지 않음, 마른기침, 숨 쉬기 힘듦, 숨이 참"
"잠들기 어려움, 자주 깨는 잠","자주 깨는 잠, 잠들기 어려움"
"복부 통증, 발열","발열, 쑤심, 아파요, 아픔, 찌릿함, 통증"
"고열, 의식 저하, 저혈압","고열, 의식 저하, 저혈압"
"복부 박동성 덩이, 흉통","복부 박동성 덩이, 흉통"
"무의식, 심정지","무의식, 심정지"
"혼동, 의식 저하","의식 저하, 혼동"
"측복부 통증, 발열, 배뇨통","발열, 배뇨통, 쑤심, 아파요, 아픔, 찌릿함, 통증"
"옆구리 통증, 혈뇨","쑤심, 아파요, 아픔, 찌릿함, 통증, 혈뇨"
"복부 팽만, 구토, 복통","구토, 복부 팽만, 복통"
"혈변, 흑변, 빈혈","빈혈, 혈변, 흑변"
"두통, 의식 저하, 반신마비","두통, 머리 아픔, 머리가 띵함, 반신마비, 의식 저하, 지끈거림, 편두통"
"언어장애, 마비, 어지럼증","균형 안 맞음, 마비, 빙빙 돎, 어지러움, 언어장애, 현기증"
"하지 통증, 보행장애","보행장애, 쑤심, 아파요, 아픔, 찌릿함, 통증"
"요통, 다리 저림","다리 저림, 요통"
"허리 통증, 움직임 제한","쑤심, 아파요, 아픔, 움직임 제한, 찌릿함, 통증"
"어깨 통증, 운동 제한","쑤심, 아파요, 아픔, 운동 제한, 찌릿함, 통증"
"어깨 통증, 팔 들기 어려움","쑤심, 아파요, 아픔, 찌릿함, 통증, 팔 들기 어려움"
"요통, 움직일 때 통증","쑤심, 아파요, 아픔, 요통, 찌릿함, 통증"
"손목 부종, 통증","다리 붓기, 몸이 붓는다, 발 붓기, 쑤심, 아파요, 아픔, 찌릿함, 통증"
"엉덩이 통증, 보행 곤란","보행 곤란, 쑤심, 아파요, 아픔, 찌릿함, 통증"
윗눈꺼풀 처짐,"눈 침침함, 눈이 잘 안 보임, 시야 흐림"
"피부 탈색, 하얀 반점","가려움, 건조함, 붉은 반점, 피부 발진, 피부 트러블, 하얀 반점"
"피부 비늘, 가려움","가려움, 건조함, 붉은 반점, 피부 발진, 피부 트러블"
"얼굴 붉음, 비듬","비듬, 얼굴 붉음"
"발가락 사이 가려움, 갈라짐","갈라짐, 발가락 사이 가려움"
"피부 발진, 통증","가려움, 건조함, 붉은 반점, 쑤심, 아파요, 아픔, 찌릿함, 통증, 피부 발진, 피부 트러블"
"가려움, 진물, 피부 갈라짐","가려움, 건조함, 붉은 반점, 진물, 피부 발진, 피부 트러블"
"시야 흐림, 빛 번짐","눈 침침함, 눈이 잘 안 보임, 빛 번짐, 시야 흐림"
"시야 감소, 안압 상승","눈 침침함, 눈이 잘 안 보임, 시야 흐림, 안압 상승"
"눈 충혈, 가려움","가려움, 눈 침침함, 눈이 잘 안 보임, 시야 흐림"
중심 시야 흐림,"눈 침침함, 눈이 잘 안 보임, 시야 흐림"
"눈 건조함, 이물감","눈 침침함, 눈이 잘 안 보임, 시야 흐림, 이물감"
귀에서 소리 느낌,귀에서 소리 느낌
"청력 저하, 말귀 못 알아들음","말귀 못 알아들음, 청력 저하"
"귀 통증, 발열","발열, 쑤심, 아파요, 아픔, 찌릿함, 통증"
"어지럼증, 균형 문제","균형 문제, 균형 안 맞음, 빙빙 돎, 어지러움, 현기증"
"이명, 어지럼증, 청력 저하","균형 안 맞음, 빙빙 돎, 어지러움, 이명, 청력 저하, 현기증"
