표준 증상명,유사어 예시
언어장애,"언어장애이 생겼어요, 언어장애 때문에 걱정이에요, 언어장애이 있어요, 언어장애이 반복돼요, 언어장애이 심해졌어요, 언어장애 증상이 계속돼요, 언어장애 때문에 일상생활이 힘들어요, 언어장애으로 병원에 가야 할 것 같아요"
시야 장애,"시야 장애이 심해졌어요, 시야 장애 때문에 일상생활이 힘들어요, 시야 장애 때문에 걱정이에요, 시야 장애이 생겼어요, 시야 장애이 있어요, 시야 장애이 반복돼요, 시야 장애으로 병원에 가야 할 것 같아요, 시야 장애 증상이 계속돼요"
시야 흐림,"시야 흐림이 생겼어요, 시야 흐림 때문에 일상생활이 힘들어요, 시야 흐림 증상이 계속돼요, 시야 흐림으로 병원에 가야 할 것 같아요, 시야 흐림이 있어요, 시야 흐림이 반복돼요, 시야 흐림이 심해졌어요, 시야 흐림 때문에 걱정이에요"
눈부심,"눈부심이 심해졌어요, 눈부심 증상이 계속돼요, 눈부심 때문에 걱정이에요, 눈부심이 있어요, 눈부심이 반복돼요, 눈부심이 생겼어요, 눈부심 때문에 일상생활이 힘들어요, 눈부심으로 병원에 가야 할 것 같아요"
시력 저하,"시력 저하 때문에 걱정이에요, 시력 저하이 반복돼요, 시력 저하 증상이 계속돼요, 시력 저하 때문에 일상생활이 힘들어요, 시력 저하이 심해졌어요, 시력 저하이 생겼어요, 시력 저하이 있어요, 시력 저하으로 병원에 가야 할 것 같아요"
중심 시야 흐림,"중심 시야 흐림이 있어요, 중심 시야 흐림 증상이 계속돼요, 중심 시야 흐림이 생겼어요, 중심 시야 흐림이 심해졌어요, 중심 시야 흐림 때문에 일상생활이 힘들어요, 중심 시야 흐림 때문에 걱정이에요, 중심 시야 흐림이 반복돼요, 중심 시야 흐림으로 병원에 가야 할 것 같아요"
직선 왜곡,"직선 왜곡 때문에 걱정이에요, 직선 왜곡 증상이 계속돼요, 직선 왜곡이 생겼어요, 직선 왜곡이 있어요, 직선 왜곡이 심해졌어요, 직선 왜곡이 반복돼요, 직선 왜곡 때문에 일상생활이 힘들어요, 직선 왜곡으로 병원에 가야 할 것 같아요"
무기력,"무기력 때문에 걱정이에요, 무기력이 있어요, 무기력이 심해졌어요, 무기력이 생겼어요, 무기력으로 병원에 가야 할 것 같아요, 무기력 증상이 계속돼요, 무기력이 반복돼요, 무기력 때문에 일상생활이 힘들어요"
식욕 저하,"식욕 저하 증상이 계속돼요, 식욕 저하이 반복돼요, 식욕 저하 때문에 걱정이에요, 식욕 저하이 있어요, 식욕 저하으로 병원에 가야 할 것 같아요, 식욕 저하이 심해졌어요, 식욕 저하이 생겼어요, 식욕 저하 때문에 일상생활이 힘들어요"
수면장애,"수면장애이 있어요, 수면장애 때문에 걱정이에요, 수면장애이 생겼어요, 수면장애 증상이 계속돼요, 수면장애으로 병원에 가야 할 것 같아요, 수면장애이 반복돼요, 수면장애이 심해졌어요, 수면장애 때문에 일상생활이 힘들어요"
복통,"복통이 심해졌어요, 복통이 반복돼요, 복통이 생겼어요, 복통이 있어요, 배, 복통 때문에 일상생활이 힘들어요, 복통 증상이 계속돼요, 복통, 복통 때문에 걱정이에요, 복통으로 병원에 가야 할 것 같아요"
속쓰림,"속쓰림으로 병원에 가야 할 것 같아요, 속쓰림 때문에 걱정이에요, 속쓰림 때문에 일상생활이 힘들어요, 속쓰림이 생겼어요, 속쓰림이 반복돼요, 속쓰림이 있어요, 속쓰림이 심해졌어요, 속쓰림 증상이 계속돼요"
구토,"구토 때문에 일상생활이 힘들어요, 구토, 구역질, 구토 때문에 걱정이에요, 토, 구토 증상이 계속돼요, 구토이 심해졌어요, 구토이 반복돼요, 구토이 생겼어요, 구토으로 병원에 가야 할 것 같아요, 구토이 있어요"
배변 곤란,"배변 곤란이 있어요, 배변 곤란으로 병원에 가야 할 것 같아요, 배변 곤란 증상이 계속돼요, 배변 곤란이 생겼어요, 배변 곤란이 심해졌어요, 배변 곤란 때문에 걱정이에요, 배변 곤란 때문에 일상생활이 힘들어요, 배변 곤란이 반복돼요"
복부 팽만감,"복부 팽만감이 심해졌어요, 복부 팽만감이 생겼어요, 복부 팽만감이 있어요, 복부 팽만감으로 병원에 가야 할 것 같아요, 복부 팽만감 때문에 걱정이에요, 복부 팽만감 증상이 계속돼요, 복부 팽만감 때문에 일상생활이 힘들어요, 복부 팽만감이 반복돼요"
소변 누출,"소변 누출 때문에 일상생활이 힘들어요, 소변 누출이 심해졌어요, 소변 누출이 있어요, 소변 누출 증상이 계속돼요, 소변 누출으로 병원에 가야 할 것 같아요, 소변 누출이 생겼어요, 소변 누출 때문에 걱정이에요, 소변 누출이 반복돼요"
절박뇨,"절박뇨이 심해졌어요, 절박뇨 때문에 일상생활이 힘들어요, 절박뇨 때문에 걱정이에요, 절박뇨이 반복돼요, 절박뇨으로 병원에 가야 할 것 같아요, 절박뇨이 생겼어요, 절박뇨이 있어요, 절박뇨 증상이 계속돼요"
손 떨림,"손 떨림으로 병원에 가야 할 것 같아요, 손 떨림이 반복돼요, 손 떨림이 있어요, 손 떨림 때문에 일상생활이 힘들어요, 손 떨림이 심해졌어요, 손 떨림이 생겼어요, 손 떨림 때문에 걱정이에요, 손 떨림 증상이 계속돼요"
느린 동작,"느린 동작이 심해졌어요, 느린 동작 증상이 계속돼요, 느린 동작 때문에 걱정이에요, 느린 동작 때문에 일상생활이 힘들어요, 느린 동작으로 병원에 가야 할 것 같아요, 느린 동작이 반복돼요, 느린 동작이 생겼어요, 느린 동작이 있어요"
자세 불안정,"자세 불안정 때문에 일상생활이 힘들어요, 자세 불안정 증상이 계속돼요, 자세 불안정으로 병원에 가야 할 것 같아요, 자세 불안정이 있어요, 자세 불안정 때문에 걱정이에요, 자세 불안정이 반복돼요, 자세 불안정이 심해졌어요, 자세 불안정이 생겼어요"
청력 저하,"청력 저하이 반복돼요, 청력 저하이 있어요, 청력 저하이 심해졌어요, 청력 저하으로 병원에 가야 할 것 같아요, 청력 저하 때문에 일상생활이 힘들어요, 청력 저하이 생겼어요, 청력 저하 때문에 걱정이에요, 청력 저하 증상이 계속돼요"
대화 어려움,"대화 어려움 때문에 일상생활이 힘들어요, 대화 어려움이 반복돼요, 대화 어려움이 있어요, 대화 어려움이 생겼어요, 대화 어려움이 심해졌어요, 대화 어려움으로 병원에 가야 할 것 같아요, 대화 어려움 때문에 걱정이에요, 대화 어려움 증상이 계속돼요"
잠들기 어려움,"잠들기 어려움 때문에 일상생활이 힘들어요, 잠들기 어려움이 있어요, 잠들기 어려움 때문에 걱정이에요, 잠들기 어려움이 심해졌어요, 잠들기 어려움이 반복돼요, 잠들기 어려움 증상이 계속돼요, 잠들기 어려움이 생겼어요, 잠들기 어려움으로 병원에 가야 할 것 같아요"
자주 깨는 수면,"자주 깨는 수면이 있어요, 자주 깨는 수면 때문에 일상생활이 힘들어요, 자주 깨는 수면이 심해졌어요, 자주 깨는 수면 증상이 계속돼요, 자주 깨는 수면이 반복돼요, 자주 깨는 수면 때문에 걱정이에요, 자주 깨는 수면이 생겼어요, 자주 깨는 수면으로 병원에 가야 할 것 같아요"
가려움,"가려움이 반복돼요, 가려움이 있어요, 가려움이 심해졌어요, 가려움 증상이 계속돼요, 가려움 때문에 걱정이에요, 가려움으로 병원에 가야 할 것 같아요, 가려움 때문에 일상생활이 힘들어요, 가려움이 생겼어요"
피부 벗겨짐,"피부 벗겨짐이 반복돼요, 피부 벗겨짐이 심해졌어요, 피부 벗겨짐 때문에 일상생활이 힘들어요, 피부 벗겨짐이 생겼어요, 피부 벗겨짐 때문에 걱정이에요, 피부 벗겨짐 증상이 계속돼요, 피부 벗겨짐으로 병원에 가야 할 것 같아요, 피부 벗겨짐이 있어요"
불규칙한 맥박,"불규칙한 맥박이 생겼어요, 불규칙한 맥박이 심해졌어요, 불규칙한 맥박이 있어요, 불규칙한 맥박으로 병원에 가야 할 것 같아요, 불규칙한 맥박 때문에 걱정이에요, 불규칙한 맥박 때문에 일상생활이 힘들어요, 불규칙한 맥박이 반복돼요, 불규칙한 맥박 증상이 계속돼요"
어지럼증,"어지럼증 증상이 계속돼요, 어지럼증이 반복돼요, 어지럼증 때문에 걱정이에요, 어지럼증으로 병원에 가야 할 것 같아요, 어지럼증이 있어요, 어지럼증 때문에 일상생활이 힘들어요, 어지럼증이 생겼어요, 어지럼증이 심해졌어요"
호흡곤란,"호흡곤란으로 병원에 가야 할 것 같아요, 호흡곤란 때문에 일상생활이 힘들어요, 호흡곤란이 있어요, 호흡곤란 때문에 걱정이에요, 호흡곤란이 심해졌어요, 호흡곤란이 반복돼요, 호흡곤란이 생겼어요, 호흡곤란 증상이 계속돼요"
혈변,"혈변 때문에 일상생활이 힘들어요, 혈변으로 병원에 가야 할 것 같아요, 혈변 증상이 계속돼요, 혈변이 생겼어요, 혈변이 반복돼요, 혈변이 심해졌어요, 혈변이 있어요, 혈변 때문에 걱정이에요"
변비,"변비이 심해졌어요, 변비이 생겼어요, 변비이 반복돼요, 변비 증상이 계속돼요, 변비이 있어요, 변비 때문에 걱정이에요, 변비으로 병원에 가야 할 것 같아요, 변비 때문에 일상생활이 힘들어요"
체중감소,"체중감소 증상이 계속돼요, 체중감소이 반복돼요, 체중감소 때문에 걱정이에요, 체중감소이 생겼어요, 체중감소으로 병원에 가야 할 것 같아요, 체중감소이 있어요, 체중감소이 심해졌어요, 체중감소 때문에 일상생활이 힘들어요"
상복부 통증,"상복부 통증이 심해졌어요, 상복부 통증으로 병원에 가야 할 것 같아요, 상복부 통증 때문에 걱정이에요, 상복부 통증 때문에 일상생활이 힘들어요, 상복부 통증 증상이 계속돼요, 상복부 통증이 있어요, 상복부 통증이 생겼어요, 상복부 통증이 반복돼요"
식욕부진,"식욕부진이 반복돼요, 식욕부진 때문에 일상생활이 힘들어요, 식욕부진 증상이 계속돼요, 식욕부진이 심해졌어요, 식욕부진이 생겼어요, 식욕부진이 있어요, 식욕부진 때문에 걱정이에요, 식욕부진으로 병원에 가야 할 것 같아요"
체중감소,"체중감소 증상이 계속돼요, 체중감소이 반복돼요, 체중감소 때문에 걱정이에요, 체중감소이 생겼어요, 체중감소으로 병원에 가야 할 것 같아요, 체중감소이 있어요, 체중감소이 심해졌어요, 체중감소 때문에 일상생활이 힘들어요"
통증,"통증으로 병원에 가야 할 것 같아요, 통증이 심해졌어요, 통증 때문에 일상생활이 힘들어요, 통증 때문에 걱정이에요, 통증이 있어요, 통증 증상이 계속돼요, 통증이 반복돼요, 통증이 생겼어요"
움직임 제한,"움직임 제한이 심해졌어요, 움직임 제한 때문에 걱정이에요, 움직임 제한이 생겼어요, 움직임 제한 때문에 일상생활이 힘들어요, 움직임 제한이 있어요, 움직임 제한이 반복돼요, 움직임 제한으로 병원에 가야 할 것 같아요, 움직임 제한 증상이 계속돼요"
음식 삼키기 어려움,"음식 삼키기 어려움이 반복돼요, 음식 삼키기 어려움이 생겼어요, 음식 삼키기 어려움으로 병원에 가야 할 것 같아요, 음식 삼키기 어려움 때문에 걱정이에요, 음식 삼키기 어려움 때문에 일상생활이 힘들어요, 음식 삼키기 어려움이 심해졌어요, 음식 삼키기 어려움 증상이 계속돼요, 음식 삼키기 어려움이 있어요"
기침 유발,"기침 유발이 생겼어요, 기침 유발으로 병원에 가야 할 것 같아요, 기침 유발 증상이 계속돼요, 기침 유발이 심해졌어요, 기침 유발 때문에 걱정이에요, 기침 유발이 있어요, 기침 유발이 반복돼요, 기침 유발 때문에 일상생활이 힘들어요"
넘어짐,"넘어짐이 반복돼요, 넘어짐 증상이 계속돼요, 넘어짐 때문에 걱정이에요, 넘어짐이 생겼어요, 넘어짐이 심해졌어요, 넘어짐 때문에 일상생활이 힘들어요, 넘어짐이 있어요, 넘어짐으로 병원에 가야 할 것 같아요"
외상,"외상이 있어요, 외상 때문에 걱정이에요, 외상이 반복돼요, 외상이 생겼어요, 외상 증상이 계속돼요, 외상이 심해졌어요, 외상 때문에 일상생활이 힘들어요, 외상으로 병원에 가야 할 것 같아요"
통증,"통증으로 병원에 가야 할 것 같아요, 통증이 심해졌어요, 통증 때문에 일상생활이 힘들어요, 통증 때문에 걱정이에요, 통증이 있어요, 통증 증상이 계속돼요, 통증이 반복돼요, 통증이 생겼어요"
복통,"복통이 심해졌어요, 복통이 반복돼요, 복통이 생겼어요, 복통이 있어요, 배, 복통 때문에 일상생활이 힘들어요, 복통 증상이 계속돼요, 복통, 복통 때문에 걱정이에요, 복통으로 병원에 가야 할 것 같아요"
설사,"설사 때문에 일상생활이 힘들어요, 배, 설사 때문에 걱정이에요, 장, 설사이 반복돼요, 설사이 생겼어요, 설사으로 병원에 가야 할 것 같아요, 설사, 설사 증상이 계속돼요, 설사이 있어요, 설사이 심해졌어요"
변비 반복,"변비 반복이 생겼어요, 변비 반복이 심해졌어요, 변비 반복 증상이 계속돼요, 변비 반복이 있어요, 변비 반복 때문에 걱정이에요, 변비 반복 때문에 일상생활이 힘들어요, 변비 반복으로 병원에 가야 할 것 같아요, 변비 반복이 반복돼요"
가슴 통증,"가슴 통증이 심해졌어요, 가슴 통증이 반복돼요, 가슴 통증 때문에 걱정이에요, 가슴 통증이 생겼어요, 가슴 통증 때문에 일상생활이 힘들어요, 가슴 통증이 있어요, 가슴 통증 증상이 계속돼요, 가슴 통증으로 병원에 가야 할 것 같아요"
호흡곤란,"호흡곤란으로 병원에 가야 할 것 같아요, 호흡곤란 때문에 일상생활이 힘들어요, 호흡곤란이 있어요, 호흡곤란 때문에 걱정이에요, 호흡곤란이 심해졌어요, 호흡곤란이 반복돼요, 호흡곤란이 생겼어요, 호흡곤란 증상이 계속돼요"
식은땀,"식은땀 증상이 계속돼요, 식은땀이 심해졌어요, 식은땀 때문에 일상생활이 힘들어요, 식은땀이 반복돼요, 식은땀이 있어요, 식은땀으로 병원에 가야 할 것 같아요, 식은땀이 생겼어요, 식은땀 때문에 걱정이에요"
운동 시 흉통,"운동 시 흉통이 있어요, 운동 시 흉통이 생겼어요, 운동 시 흉통 증상이 계속돼요, 운동 시 흉통 때문에 일상생활이 힘들어요, 운동 시 흉통으로 병원에 가야 할 것 같아요, 운동 시 흉통 때문에 걱정이에요, 운동 시 흉통이 반복돼요, 운동 시 흉통이 심해졌어요"
목/팔 통증,"목/팔 통증으로 병원에 가야 할 것 같아요, 목/팔 통증 때문에 일상생활이 힘들어요, 목/팔 통증 때문에 걱정이에요, 목/팔 통증이 심해졌어요, 목/팔 통증이 생겼어요, 목/팔 통증이 있어요, 목/팔 통증이 반복돼요, 목/팔 통증 증상이 계속돼요"
기침,"기침이 반복돼요, 기침이 생겼어요, 기침 증상이 계속돼요, 기침이 심해졌어요, 기침으로 병원에 가야 할 것 같아요, 기침 때문에 걱정이에요, 기침이 있어요, 기침소리, 기침 때문에 일상생활이 힘들어요, 기침"
가래,"가래이 반복돼요, 가래이 있어요, 가래 때문에 걱정이에요, 가래 때문에 일상생활이 힘들어요, 가래이 심해졌어요, 가래으로 병원에 가야 할 것 같아요, 가래 증상이 계속돼요, 가래이 생겼어요"
가슴 답답함,"가슴 답답함이 생겼어요, 가슴 답답함이 심해졌어요, 가슴 답답함이 있어요, 가슴 답답함으로 병원에 가야 할 것 같아요, 가슴 답답함 때문에 걱정이에요, 가슴 답답함 때문에 일상생활이 힘들어요, 가슴 답답함 증상이 계속돼요, 가슴 답답함이 반복돼요"
발열,"발열이 있어요, 발열이 심해졌어요, 체온, 발열 때문에 일상생활이 힘들어요, 열, 발열이 생겼어요, 발열으로 병원에 가야 할 것 같아요, 발열 때문에 걱정이에요, 발열이 반복돼요, 발열, 발열 증상이 계속돼요"
기침,"기침이 반복돼요, 기침이 생겼어요, 기침 증상이 계속돼요, 기침이 심해졌어요, 기침으로 병원에 가야 할 것 같아요, 기침 때문에 걱정이에요, 기침이 있어요, 기침소리, 기침 때문에 일상생활이 힘들어요, 기침"
가래,"가래이 반복돼요, 가래이 있어요, 가래 때문에 걱정이에요, 가래 때문에 일상생활이 힘들어요, 가래이 심해졌어요, 가래으로 병원에 가야 할 것 같아요, 가래 증상이 계속돼요, 가래이 생겼어요"
호흡곤란,"호흡곤란으로 병원에 가야 할 것 같아요, 호흡곤란 때문에 일상생활이 힘들어요, 호흡곤란이 있어요, 호흡곤란 때문에 걱정이에요, 호흡곤란이 심해졌어요, 호흡곤란이 반복돼요, 호흡곤란이 생겼어요, 호흡곤란 증상이 계속돼요"
피로감,"피로감이 반복돼요, 피로감 증상이 계속돼요, 피로감으로 병원에 가야 할 것 같아요, 피로감이 심해졌어요, 피로감이 있어요, 피로감 때문에 일상생활이 힘들어요, 피로감이 생겼어요, 피로감 때문에 걱정이에요"
황달,"황달이 심해졌어요, 황달이 반복돼요, 황달 때문에 일상생활이 힘들어요, 황달이 있어요, 황달으로 병원에 가야 할 것 같아요, 황달 증상이 계속돼요, 황달이 생겼어요, 황달 때문에 걱정이에요"
복수,"복수이 있어요, 복수 때문에 걱정이에요, 복수 증상이 계속돼요, 복수이 심해졌어요, 복수 때문에 일상생활이 힘들어요, 복수이 반복돼요, 복수으로 병원에 가야 할 것 같아요, 복수이 생겼어요"
체중 감소,"체중 감소 증상이 계속돼요, 체중 감소 때문에 일상생활이 힘들어요, 체중 감소이 있어요, 체중 감소으로 병원에 가야 할 것 같아요, 체중 감소이 생겼어요, 체중 감소이 심해졌어요, 체중 감소이 반복돼요, 체중 감소 때문에 걱정이에요"
복통,"복통이 심해졌어요, 복통이 반복돼요, 복통이 생겼어요, 복통이 있어요, 배, 복통 때문에 일상생활이 힘들어요, 복통 증상이 계속돼요, 복통, 복통 때문에 걱정이에요, 복통으로 병원에 가야 할 것 같아요"
피로감,"피로감이 반복돼요, 피로감 증상이 계속돼요, 피로감으로 병원에 가야 할 것 같아요, 피로감이 심해졌어요, 피로감이 있어요, 피로감 때문에 일상생활이 힘들어요, 피로감이 생겼어요, 피로감 때문에 걱정이에요"
상복부 통증,"상복부 통증이 심해졌어요, 상복부 통증으로 병원에 가야 할 것 같아요, 상복부 통증 때문에 걱정이에요, 상복부 통증 때문에 일상생활이 힘들어요, 상복부 통증 증상이 계속돼요, 상복부 통증이 있어요, 상복부 통증이 생겼어요, 상복부 통증이 반복돼요"
구역,"구역이 반복돼요, 구역 때문에 일상생활이 힘들어요, 구역이 있어요, 구역 때문에 걱정이에요, 구역이 심해졌어요, 구역 증상이 계속돼요, 구역으로 병원에 가야 할 것 같아요, 구역이 생겼어요"
구토,"구토 때문에 일상생활이 힘들어요, 구토, 구역질, 구토 때문에 걱정이에요, 토, 구토 증상이 계속돼요, 구토이 심해졌어요, 구토이 반복돼요, 구토이 생겼어요, 구토으로 병원에 가야 할 것 같아요, 구토이 있어요"
체중 감소,"체중 감소 증상이 계속돼요, 체중 감소 때문에 일상생활이 힘들어요, 체중 감소이 있어요, 체중 감소으로 병원에 가야 할 것 같아요, 체중 감소이 생겼어요, 체중 감소이 심해졌어요, 체중 감소이 반복돼요, 체중 감소 때문에 걱정이에요"
황달,"황달이 심해졌어요, 황달이 반복돼요, 황달 때문에 일상생활이 힘들어요, 황달이 있어요, 황달으로 병원에 가야 할 것 같아요, 황달 증상이 계속돼요, 황달이 생겼어요, 황달 때문에 걱정이에요"
상복부 통증,"상복부 통증이 심해졌어요, 상복부 통증으로 병원에 가야 할 것 같아요, 상복부 통증 때문에 걱정이에요, 상복부 통증 때문에 일상생활이 힘들어요, 상복부 통증 증상이 계속돼요, 상복부 통증이 있어요, 상복부 통증이 생겼어요, 상복부 통증이 반복돼요"
부종,"부종 증상이 계속돼요, 부종으로 병원에 가야 할 것 같아요, 부종이 반복돼요, 부종이 심해졌어요, 부종 때문에 일상생활이 힘들어요, 부종이 있어요, 부종 때문에 걱정이에요, 부종이 생겼어요"
피로,"피로이 있어요, 피로 증상이 계속돼요, 피로이 심해졌어요, 피로이 생겼어요, 피로 때문에 걱정이에요, 피로으로 병원에 가야 할 것 같아요, 피로 때문에 일상생활이 힘들어요, 피로이 반복돼요"
소변량 감소,"소변량 감소이 있어요, 소변량 감소 때문에 걱정이에요, 소변량 감소 때문에 일상생활이 힘들어요, 소변량 감소으로 병원에 가야 할 것 같아요, 소변량 감소이 심해졌어요, 소변량 감소이 생겼어요, 소변량 감소 증상이 계속돼요, 소변량 감소이 반복돼요"
